first_name,last_name,ibl_role,orcid,credit_proposal_v1,credit_proposal_v2
Mayo,Faulkner,postdoc,https://orcid.org/0000-0001-5427-0282,"[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] attended behavior working group meetings (equal)
[Methodology] wrote and curated the Appendix protocols (equal)","[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Writing - original draft] wrote and curated the Appendix protocols (equal)"
Hamish,Forrest,technician,,"[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (support)","[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (support)"
Laura M.,Haetzel,technician,https://orcid.org/0000-0001-5178-9177,"[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] attended behavior working group meetings (equal)","[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
"
Michael,Hausser,PI,,"[Funding acquisition] acquired funding (lead)
[Resources] hosted the research (equal)
[Project administration] administered the collaboration (lead)
[Supervision] supervised local laboratory research (equal)
[Writing - review and editing] edited the paper (support)","[Funding acquisition] acquired funding (lead)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)
[Writing - review and editing] edited the paper (support)"
Sonja B.,Hofer,PI,https://orcid.org/0000-0003-4921-8521,"[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)","[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)"
Fei,Hu,postdoc,https://orcid.org/0000-0001-7827-9548,"[Methodology] reviewed and standardized licenses and experimental protocols (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] attended behavior working group meetings (equal)
[Funding acquisition] generated progress reports (support)","[Methodology] standardized licenses and experimental protocols across institutions (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Funding acquisition] acquired funding (support)
"
Anup,Khanal,technician,0000-0002-8929-7984,"[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (support)
[Project administration] attended behavior working group meetings (support)","[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (support)
"
Christopher S.,Krasniak,PhD student,https://orcid.org/0000-0001-8852-6805,"[Methodology] piloted candidate behavioral tasks (equal)
developed protocols for surgery, husbandry and animal training (equal)
wrote and curated the Appendix protocols (support)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] attended behavior working group meetings (equal)
[Writing - original draft] wrote the paper (equal)
[Writing - review and editing] edited the paper (support)
","[Methodology] piloted candidate behavioral tasks (equal)
developed protocols for surgery, husbandry and animal training (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Writing - original draft] wrote the first version of the paper (equal)
wrote and curated the appendix protocols (support)
[Writing - review and editing] edited the paper (support)
"
Inês C.,Laranjeira,technician,0000-0003-2961-6709,"[Methodology] piloted candidate behavioral tasks (equal)
developed protocols for surgery, husbandry and animal training (equal)
wrote and curated the Appendix protocols (support)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] attended behavior working group meetings (equal)","[Methodology] piloted candidate behavioral tasks (equal)
developed protocols for surgery, husbandry and animal training (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Writing - original draft] wrote and curated the Appendix protocols (support)
"
Zachary F.,Mainen,PI,0000-0001-7913-9109,"[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)
[Writing - review and editing] edited the paper (support)","[Funding acquisition] acquired funding (lead)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)
[Writing - review and editing] edited the paper (equal)"
Guido T.,Meijer,postdoc,0000-0002-7473-0482,"[Formal analysis] analyzed data for figure 1 (support)
analyzed data for figure 2 (equal)
analyzed data for figure 3 (lead)
analyzed data for figure 4 (support)
analyzed data for supplementary figures (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Methodology] developed final behavioral task (equal)
built, designed and tested behavioral rigs (lead)
wrote and curated the Appendix protocols (equal)
reviewed and standardized licenses and experimental protocols (equal)
[Project administration] attended behavior working group meetings (equal)
[Writing - original draft] wrote the paper (equal)
[Data curation] maintained and validated analysis code (equal)
","[Conceptualization] defined composition and scope of the paper (equal)
[Formal analysis] analyzed data (lead)
[Visualization] designed and created figures (lead)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Validation] maintained and validated analysis code (equal)
[Methodology] developed final behavioral task (equal)
built, designed and tested rig assembly (lead)
standardized licenses and experimental protocols across institutions (equal)
[Writing - original draft] wrote the second version of the paper (equal)
wrote and curated the Appendix protocols (equal)

"
Nathaniel J.,Miska,postdoc,0000-0001-8587-4919,"[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] attended behavior working group meetings (equal)
[Writing - review and editing] edited the paper (support)
","[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Writing - review and editing] edited the paper (support)
"
Thomas D.,Mrsic-Flogel,PI,https://orcid.org/0000-0002-8947-408X,"[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)","[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)"
Masayoshi,Murakami,postdoc,0000-0001-5511-1144,"[Methodology] built, designed and tested behavioral rigs (support) 
piloted candidate behavioral tasks (support)
[Project administration] attended behavior working group meetings (support)","[Methodology] built, designed and tested rig assembly (support) 
piloted candidate behavioral tasks (support)
"
Jean Paul,Noel,postdoc,0000-0001-5297-3363,"[Methodology] reviewed and standardized licenses and experimental protocols (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] attended behavior working group meetings (equal)
[Formal analysis] analyzed data for figure 3 (support)
[Writing - original draft] wrote the paper (lead)
[Writing - review and editing] edited the paper (support)","[Methodology] standardized licenses and experimental protocols across institutions (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Formal analysis] analyzed data (support)
[Writing - original draft] wrote the first version of the paper (lead)
[Writing - review and editing] edited the paper (support)"
Alejandro,Pan-Vazquez,postdoc,https://orcid.org/0000-0001-5899-0471,"[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Methodology] reviewed and standardized licenses and experimental protocols (equal)
developed protocols for surgery, husbandry and animal training (support)
[Project administration] attended behavior working group meetings (equal)
[Formal analysis] analyzed data for figure 2 (support)
analyzed data for figure 3 (support)
analyzed data for figure 5 (equal)
analyzed data for supplementary figures (equal)
[Writing - original draft] wrote the paper (equal)
[Writing - review and editing] edited the paper (equal)
[Data curation] maintained and validated analysis code (support)","[Conceptualization] defined composition and scope of the paper (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Methodology] standardized licenses and experimental protocols across institutions (equal)
developed protocols for surgery, husbandry and animal training (support)
[Formal analysis] analyzed data (lead)
[Writing - original draft] wrote the second version of the paper (equal)
[Writing - review and editing] edited the paper (equal)
[Validation] maintained and validated analysis code (support)
[Visualization] designed and created figures (equal)"
Cyrille,Rossant,staff,https://orcid.org/0000-0003-2069-9093,[Data curation] curated data and metadata (support),[Data curation] curated data and metadata (support)
Joshua I.,Sanders,contractor,https://orcid.org/0000-0001-7936-8075,"[Methodology] design and delivery of rig components (lead) built, designed and tested behavioral rigs (equal) 
[Project administration] attended behavior working group meetings (support)
","[Methodology] design and delivery of rig components (lead) 
built, designed and tested rig assembly (equal) 
"
Karolina Z.,Socha,postdoc,https://orcid.org/0000-0002-1677-1489,"[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Methodology] developed protocols for surgery, husbandry and animal training (equal)
built, designed and tested behavioral rigs (support)
[Project administration] attended behavior working group meetings (equal)
[Writing - review and editing] edited the paper (support)","[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Methodology] developed protocols for surgery, husbandry and animal training (equal)
built, designed and tested rig assembly (support)
[Writing - review and editing] edited the paper (support)"
Rebecca,Terry,technician,,"[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (support)","[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (support)"
Anne E.,Urai,postdoc,https://orcid.org/0000-0001-5270-6513,"[Methodology] built, designed and tested behavioral rigs (support)
piloted candidate behavioral tasks (equal)
developed final behavioral task (equal)
developed protocols for surgery, husbandry and animal training (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] attended behavior working group meetings (equal)
coordinated behavior working group (support)
[Formal analysis] analyzed data for figure 1 (equal)
analyzed data for figure 3 (support)
analyzed data for figure 4 (lead)
analyzed data for figure 5 (equal)
analyzed data for supplementary figures (equal)
[Data curation] maintained and validated analysis code (equal)
[Writing - review and editing] edited the paper (equal)
[Funding acquisition] generated progress reports (support)","[Conceptualization] defined composition and scope of the paper (equal)
[Methodology] built, designed and tested rig assembly (support)
piloted candidate behavioral tasks (equal)
developed final behavioral task {tested and formulated training proficiency criteria; piloted sucrose concentrations; tested different session disengagement criteria} (equal)
developed protocols for surgery, husbandry and animal training (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] managed and coordinated research outputs {curated and coordinated author contributions} (support)
[Formal analysis] analyzed data {fit psychometric functions and learning curves; developed GLM model} (lead)
[Data curation] curated data and metadata (support)
[Validation] maintained and validated analysis code (equal)
[Visualization] designed and created figures {figures 1def, 2ab, 3ab, 4abcde, 5a-g; figure 5 - supplement 2} (lead)
created data visualizations (lead) {designed behavioral 'snapshots' to monitor training progress}
[Writing - original draft] wrote the second version of the paper (equal)
wrote and curated the appendix protocols (support)
[Supervision] managed and coordinated team {acting associate chair, summer 2018} (support)"
Hernando M.,Vergara,postdoc,https://orcid.org/0000-0001-6904-2311,"[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (support)
[Project administration] attended behavior working group meetings (support)
[Methodology] wrote and curated the Appendix protocols (support)","[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (support)
[Writing - original draft] wrote and curated the Appendix protocols (support)"
Miles J.,Wells,staff,,"[Methodology] built, designed and tested behavioral rigs (support)
piloted candidate behavioral tasks (lead)
developed final behavioral task (equal)
[Project administration] attended behavior working group meetings (equal)
[Formal analysis] analyzed data for supplementary figures (equal)
[Writing - review and editing] edited the paper (support)
[Writing - original draft] wrote the paper (equal)
[Data curation] curated data and metadata (support) maintained and validated analysis code (equal)","[Conceptualization] defined composition and scope of the paper (equal)
[Methodology] built, designed and tested rig assembly (support)
piloted candidate behavioral tasks (lead)
developed final behavioral task (equal)
[Formal analysis] analyzed data (equal)
[Data curation] curated data and metadata (lead) 
[Validation] maintained and validated analysis code (equal)
[Visualization] designed and created figures (support)
created data visualizations (support)
[Writing - original draft] wrote the second version of the paper (equal)
"
Christian J.,Wilson,technician,,"[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)","[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (support)"
Ilana B.,Witten,PI,https://orcid.org/0000-0003-0548-2160,"[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)","[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)"
Lauren E.,Wool,postdoc,https://orcid.org/0000-0002-2955-2576,"[Methodology] built, designed and tested behavioral rigs (lead)
developed final behavioral task (equal)
developed protocols for surgery, husbandry and animal training (support)
[Project administration] attended behavior working group meetings (equal)
[Writing - original draft] wrote the paper (equal)
[Writing - review and editing] edited the paper (equal)
[Funding acquisition] generated progress reports (support)","[Methodology] built, designed and tested rig assembly (lead)
developed final behavioral task (equal)
developed protocols for surgery, husbandry and animal training (support)
[Writing - original draft] wrote the first version of the paper (lead)
[Writing - review and editing] edited the paper (equal)
[Funding acquisition] acquired funding (support)"
Anthony M.,Zador,PI,https://orcid.org/0000-0002-8431-9136,"[Funding acquisition] acquired funding (equal)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)
[Project administration] coordinated behavior working group (equal) 
attended behavior working group meetings (equal)","[Funding acquisition] acquired funding (equal)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)
managed and coordinated team (equal)"
